year,county,B19013_001E, B19013A_001E, B19013B_001E, B19013C_001E, B19013D_001E, B19013E_001E, B19013F_001E, B19013G_001E, B19013H_001E, B19013I_001E,state,county 1
01/01/2010 12:00:00 AM,"Accomack County, Virginia",41372,44544,28312,59167,26473,-666666666,32434,47802,45334,31239,51,001
01/01/2010 12:00:00 AM,"Albemarle County, Virginia",64847,71532,38526,-666666666,47898,-666666666,42873,37159,71378,63229,51,003
01/01/2010 12:00:00 AM,"Alleghany County, Virginia",43160,44245,27853,-666666666,-666666666,-666666666,-666666666,-666666666,44335,-666666666,51,005
01/01/2010 12:00:00 AM,"Amelia County, Virginia",50135,55303,38750,-666666666,-666666666,-666666666,-666666666,-666666666,55101,44850,51,007
01/01/2010 12:00:00 AM,"Amherst County, Virginia",44757,49315,31275,7857,-666666666,-666666666,31760,78250,49985,39188,51,009
01/01/2010 12:00:00 AM,"Appomattox County, Virginia",49224,50582,41613,-666666666,-666666666,-666666666,-666666666,-666666666,50527,-666666666,51,011
01/01/2010 12:00:00 AM,"Arlington County, Virginia",94880,105629,54218,52300,80727,120446,47601,72101,107945,57953,51,013
01/01/2010 12:00:00 AM,"Augusta County, Virginia",50612,51101,40833,-666666666,33452,-666666666,34595,51477,51110,50700,51,015
01/01/2010 12:00:00 AM,"Bath County, Virginia",50589,50749,41757,-666666666,-666666666,-666666666,-666666666,-666666666,50749,-666666666,51,017
01/01/2010 12:00:00 AM,"Bedford County, Virginia",54110,56388,35250,46944,90583,-666666666,8696,37313,56204,65391,51,019
01/01/2010 12:00:00 AM,"Bland County, Virginia",41552,41597,29125,-666666666,-666666666,-666666666,-666666666,-666666666,41597,-666666666,51,021
01/01/2010 12:00:00 AM,"Botetourt County, Virginia",64724,65426,34500,-666666666,111042,-666666666,-666666666,66094,65584,47205,51,023
01/01/2010 12:00:00 AM,"Brunswick County, Virginia",35184,50736,25391,-666666666,-666666666,-666666666,-666666666,40500,50833,31250,51,025
01/01/2010 12:00:00 AM,"Buchanan County, Virginia",29183,29130,2499,-666666666,73438,-666666666,-666666666,-666666666,29150,-666666666,51,027
